energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
0.574,0.0885,111.881,0.0577,0.608,0.0,4,0.459,3,215107,-4.857,0.183,1
0.952,0.112,125.304,0.0522,0.09,0.0843,4,0.445,6,356067,-5.321,0.624,1
0.528,0.163,109.975,0.161,0.115,0.329,4,0.932,5,214653,-6.472,0.757,0
0.578,0.135,145.07,0.0408,0.331,0.0,4,0.674,10,231267,-5.804,0.34,1
0.868,0.148,159.763,0.205,0.187,0.0032,4,0.534,11,208667,-5.057,0.406,1
0.654,0.101,106.976,0.0647,0.227,0.0,4,0.72,1,207320,-5.634,0.411,1
0.503,0.405,178.781,0.22,0.293,0.0,4,0.593,8,137704,-6.725,0.71,0
0.721,0.285,121.962,0.0506,0.0149,0.00432,4,0.785,8,176219,-5.457,0.894,1
0.765,0.0936,114.044,0.0993,0.0112,0.0,4,0.746,6,199054,-4.41,0.737,0
0.627,0.0708,150.273,0.0384,0.164,0.0,4,0.336,7,241107,-7.463,0.35,1
0.754,0.0486,149.789,0.0615,0.0151,0.0,4,0.752,1,206880,-6.684,0.755,1
0.756,0.37,110.028,0.0393,0.0136,0.0,4,0.739,4,231387,-4.828,0.522,1
0.586,0.79,116.971,0.0559,0.104,0.0,4,0.896,10,196653,-6.687,0.642,0
0.537,0.102,128.009,0.0804,0.556,0.00404,4,0.921,9,135090,-5.723,0.711,0
0.716,0.324,91.007,0.0361,0.174,0.0,4,0.701,7,140533,-3.671,0.732,0
0.473,0.391,119.992,0.0514,0.287,0.0,4,0.765,10,237300,-5.829,0.34,1
0.676,0.0894,101.956,0.0442,0.0902,0.0,4,0.798,6,219947,-5.041,0.843,1
0.71,0.0956,127.975,0.0292,0.145,0.115,4,0.733,5,239600,-5.849,0.965,0
0.481,0.0649,80.025,0.0815,0.369,1.03e-06,4,0.689,10,229526,-7.503,0.283,1
0.496,0.0772,80.994,0.0453,0.554,2.65e-05,4,0.453,5,239317,-5.785,0.501,1
0.831,0.0797,124.987,0.044,0.312,0.0,4,0.79,11,183551,-4.185,0.872,1
0.444,0.0973,150.96,0.0417,0.559,0.0,4,0.703,11,242947,-9.331,0.712,1
0.373,0.0481,92.718,0.0323,0.257,8.01e-05,4,0.671,9,295893,-18.064,0.732,1
0.816,0.0967,178.085,0.167,0.228,0.0,4,0.653,2,228827,-4.353,0.816,1
0.698,0.0907,89.976,0.105,0.0472,0.00143,4,0.628,6,211667,-5.608,0.732,0
0.613,0.134,100.066,0.0542,0.109,2.33e-05,4,0.775,3,208787,-4.586,0.797,0
0.715,0.0942,155.925,0.0362,0.00125,7.97e-06,3,0.315,11,289533,-8.072,0.497,0
0.559,0.109,78.558,0.0959,0.371,7.49e-06,4,0.558,6,180387,-9.222,0.62,1
0.505,0.104,91.97,0.253,0.535,2.55e-06,4,0.752,9,197437,-7.621,0.419,1
0.756,0.0527,104.945,0.0294,0.131,0.0,4,0.729,8,228293,-5.119,0.522,1
0.541,0.13,124.939,0.0658,0.566,0.0,4,0.779,0,235545,-6.824,0.447,1
0.797,0.067,177.928,0.153,0.198,0.0,4,0.655,2,229360,-4.787,0.839,1
0.788,0.0863,120.076,0.0334,0.0591,0.0,4,0.748,1,235493,-7.055,0.884,1
0.69,0.101,89.977,0.164,0.247,0.0,4,0.746,11,181733,-7.956,0.497,1
0.854,0.124,120.276,0.463,0.0169,0.0,4,0.597,7,203418,-5.114,0.152,0
0.832,0.0968,113.035,0.0682,0.0106,0.0,4,0.669,0,237547,-5.721,0.7,1
0.678,0.13,96.006,0.0644,0.085,1.64e-06,4,0.753,5,231827,-5.421,0.583,1
0.396,0.105,90.024,0.0286,0.0841,3.58e-05,4,0.732,4,195920,-9.348,0.548,0
0.87,0.484,110.072,0.0421,0.00353,0.0,4,0.488,6,187520,-4.185,0.211,0
0.111,0.0897,82.642,0.0972,0.978,3.97e-05,4,0.367,4,196077,-14.084,0.198,1
0.679,0.218,124.98,0.0364,0.583,1.98e-06,4,0.835,7,162638,-5.329,0.85,0
0.784,0.668,136.239,0.0625,0.0999,0.000108,4,0.448,9,186813,-3.686,0.237,1
0.538,0.196,143.946,0.0382,0.0689,0.0,4,0.556,8,223347,-5.408,0.291,0
0.563,0.179,100.017,0.134,0.621,0.0,4,0.728,1,217707,-8.053,0.352,0
0.686,0.2,89.949,0.243,0.549,0.0,4,0.632,6,170770,-7.665,0.329,0
0.619,0.113,136.041,0.102,0.0533,0.0,4,0.878,6,157067,-5.56,0.639,1
0.68,0.138,118.026,0.0305,0.141,1.2e-05,4,0.78,4,180560,-6.081,0.594,1
0.713,0.113,74.989,0.0393,0.00835,0.0,4,0.645,6,214507,-5.355,0.566,1
0.77,0.103,107.951,0.0482,0.124,0.0,4,0.702,9,213520,-5.416,0.593,0
0.567,0.0811,125.02,0.0956,0.59,0.00142,4,0.845,5,205680,-8.118,0.793,0
0.706,0.166,133.002,0.0473,0.0684,0.0,4,0.72,1,187436,-4.719,0.62,1
0.787,0.0685,117.089,0.0499,0.0197,6.07e-05,5,0.399,1,216120,-2.88,0.572,1
0.866,0.257,128.038,0.0619,0.00701,0.0,4,0.578,1,199080,-3.804,0.619,1
0.726,0.372,136.048,0.129,0.099,0.0,4,0.816,5,253390,-3.998,0.65,0
0.538,0.103,99.952,0.212,0.137,1.88e-06,4,0.829,11,149547,-7.359,0.389,0
0.537,0.0802,126.421,0.034,0.705,0.0,4,0.551,11,196493,-7.595,0.493,1
0.431,0.0887,127.085,0.0364,0.123,0.0,4,0.785,10,159382,-8.756,0.236,0
0.802,0.0642,95.881,0.228,0.158,5e-06,4,0.843,1,212500,-4.167,0.618,0
0.927,0.148,123.962,0.0332,0.199,0.119,4,0.631,9,222160,-2.787,0.465,0
0.819,0.0679,92.99,0.118,0.426,0.0,4,0.773,0,269187,-5.946,0.585,0
0.648,0.161,96.888,0.062,0.121,2.62e-06,4,0.633,4,200690,-6.645,0.49,1
0.782,0.23,128.033,0.044,0.0125,0.033,4,0.621,2,198938,-5.548,0.55,1
0.451,0.0872,157.966,0.0347,0.336,0.0,4,0.481,5,295493,-6.095,0.289,0
0.56,0.111,140.06,0.105,0.546,0.0,4,0.75,8,221440,-8.094,0.459,1
0.798,0.156,92.946,0.0432,0.0736,0.0,4,0.608,6,185360,-5.092,0.5,0
0.893,0.366,126.011,0.0347,0.0451,2.79e-05,4,0.807,11,230747,-3.745,0.537,0
0.544,0.0824,97.028,0.0943,0.0403,0.0,4,0.836,7,217947,-5.975,0.51,1
0.431,0.696,144.026,0.135,0.731,0.0,4,0.726,8,173333,-8.765,0.348,0
0.712,0.0933,92.005,0.0817,0.0901,2.68e-05,4,0.911,1,178567,-5.105,0.425,0
0.705,0.12,110.97,0.0284,0.259,8.92e-05,4,0.764,8,208667,-3.463,0.781,1
0.804,0.0494,104.823,0.0677,0.0231,0.0,4,0.744,1,205715,-6.327,0.426,1
0.601,0.46,116.735,0.148,0.0522,0.0,5,0.621,6,163636,-5.616,0.457,0
0.437,0.106,180.042,0.0386,0.102,1.32e-06,4,0.259,11,239000,-6.589,0.0951,0
0.443,0.213,117.968,0.0556,0.0601,1.91e-05,4,0.735,0,245653,-8.432,0.107,1
0.904,0.064,82.014,0.0618,0.193,0.0,4,0.579,5,190947,-2.729,0.681,1
